pathway	p-value
MSigDB:REACTOME_SYNTHESIS_OF_UDP_N_ACETYL_GLUCOSAMINE	6.469105911516129E-12
MSigDB:REACTOME_DISEASES_ASSOCIATED_WITH_O_GLYCOSYLATION_OF_PROTEINS	6.539823092666782E-12
MSigDB:WP_DISORDERS_OF_FRUCTOSE_METABOLISM	6.587389587768626E-12
MSigDB:KAPOSI_LIVER_CANCER_MET_UP	6.6832319631100044E-12
MSigDB:LU_AGING_BRAIN_UP	7.225569452278854E-12
MSigDB:WP_GENES_CONTROLLING_NEPHROGENESIS	7.347187960059896E-12
MSigDB:TAKEDA_TARGETS_OF_NUP98_HOXA9_FUSION_10D_DN	7.49725089306964E-12
MSigDB:KAAB_HEART_ATRIUM_VS_VENTRICLE_UP	8.289172665946855E-12
MSigDB:CHARAFE_BREAST_CANCER_LUMINAL_VS_BASAL_DN	8.337842416330746E-12
MSigDB:MURAKAMI_UV_RESPONSE_24HR	8.379923233337864E-12
MSigDB:CASORELLI_ACUTE_PROMYELOCYTIC_LEUKEMIA_UP	8.723209064826792E-12
MSigDB:SPIRA_SMOKERS_LUNG_CANCER_UP	8.797340263522245E-12
MSigDB:SABATES_COLORECTAL_ADENOMA_UP	9.248415777085855E-12
MSigDB:BOYLAN_MULTIPLE_MYELOMA_C_DN	9.291859144315906E-12
MSigDB:WILENSKY_RESPONSE_TO_DARAPLADIB	1.0112367630922187E-11
MSigDB:SCHAEFFER_PROSTATE_DEVELOPMENT_6HR_UP	1.0266672567981002E-11
MSigDB:KYNG_ENVIRONMENTAL_STRESS_RESPONSE_NOT_BY_4NQO_IN_WS	1.0395655079544725E-11
MSigDB:KONDO_HYPOXIA	1.0415874705064881E-11
MSigDB:HUPER_BREAST_BASAL_VS_LUMINAL_UP	1.0874752431178824E-11
MSigDB:BIOCARTA_MSP_PATHWAY	1.1249996409696837E-11
MSigDB:PID_LYMPH_ANGIOGENESIS_PATHWAY	1.1387212181346675E-11
MSigDB:CORRE_MULTIPLE_MYELOMA_UP	1.147448578099176E-11
MSigDB:JU_AGING_TERC_TARGETS_UP	1.1589265196634061E-11
MSigDB:JINESH_BLEBBISHIELD_TRANSFORMED_STEM_CELL_SPHERES_UP	1.2518735519343151E-11
MSigDB:BASSO_HAIRY_CELL_LEUKEMIA_UP	1.2874729615822664E-11
MSigDB:WP_CLEAR_CELL_RENAL_CELL_CARCINOMA_PATHWAYS	1.2999691553822885E-11
MSigDB:WIERENGA_STAT5A_TARGETS_UP	1.357132885564491E-11
MSigDB:MOOTHA_GLYCOLYSIS	1.4211723675764998E-11
MSigDB:FIGUEROA_AML_METHYLATION_CLUSTER_6_UP	1.4768844668556357E-11
MSigDB:MOROSETTI_FACIOSCAPULOHUMERAL_MUSCULAR_DISTROPHY_UP	1.4847791307692392E-11
MSigDB:YAGI_AML_FAB_MARKERS	1.5094569788552923E-11
MSigDB:REACTOME_FGFR2B_LIGAND_BINDING_AND_ACTIVATION	1.6012274653867675E-11
MSigDB:ZHENG_IL22_SIGNALING_UP	1.6676318420422593E-11
MSigDB:BLANCO_MELO_BRONCHIAL_EPITHELIAL_CELLS_INFLUENZA_A_INFECTION_UP	1.74148294517624E-11
MSigDB:WP_OLIGODENDROCYTE_SPECIFICATION_AND_DIFFERENTIATION_LEADING_TO_MYELIN_COMPONENTS_FOR_CNS	1.7469853808741417E-11
MSigDB:REACTOME_BLOOD_GROUP_SYSTEMS_BIOSYNTHESIS	1.8008542727356553E-11
MSigDB:WALLACE_PROSTATE_CANCER_RACE_UP	1.8443859232314167E-11
MSigDB:GEISS_RESPONSE_TO_DSRNA_UP	1.8735309736795192E-11
MSigDB:WP_IL18_SIGNALING_PATHWAY	2.0562746245700856E-11
MSigDB:MARTIN_NFKB_TARGETS_UP	2.0664712926164436E-11
MSigDB:SHETH_LIVER_CANCER_VS_TXNIP_LOSS_PAM3	2.1935041640147293E-11
MSigDB:MORI_LARGE_PRE_BII_LYMPHOCYTE_DN	2.213110568553623E-11
MSigDB:REACTOME_MATURATION_OF_PROTEIN_3A	2.4011131302096402E-11
MSigDB:REACTOME_BASIGIN_INTERACTIONS	2.4285898537894496E-11
MSigDB:HAN_SATB1_TARGETS_UP	2.4967931606608705E-11
MSigDB:MULLIGHAN_MLL_SIGNATURE_1_UP	2.5121229428671416E-11
MSigDB:MORI_PLASMA_CELL_UP	2.5139320800432508E-11
MSigDB:CHIARETTI_T_ALL_REFRACTORY_TO_THERAPY	2.5528373352091724E-11
MSigDB:BIOCARTA_TCYTOTOXIC_PATHWAY	2.9060531804040536E-11
MSigDB:KEGG_GLYCOSPHINGOLIPID_BIOSYNTHESIS_LACTO_AND_NEOLACTO_SERIES	2.940310088181703E-11
MSigDB:LIAO_HAVE_SOX4_BINDING_SITES	2.946277797484378E-11
MSigDB:WIERENGA_STAT5A_TARGETS_GROUP2	2.9841093959400504E-11
MSigDB:KEGG_GLYCOSYLPHOSPHATIDYLINOSITOL_GPI_ANCHOR_BIOSYNTHESIS	3.08795140816872E-11
MSigDB:WP_SARSCOV2_AND_COVID19_PATHWAY	3.0948422073414684E-11
MSigDB:WP_PI3KAKT_SIGNALING_PATHWAY	3.322632627617817E-11
MSigDB:SCHLINGEMANN_SKIN_CARCINOGENESIS_TPA_DN	3.427939280467573E-11
MSigDB:WACKER_HYPOXIA_TARGETS_OF_VHL	3.446736055570202E-11
MSigDB:PAL_PRMT5_TARGETS_DN	3.505320081572619E-11
MSigDB:INGRAM_SHH_TARGETS_UP	3.6030249024947275E-11
MSigDB:COLLER_MYC_TARGETS_DN	3.6154819227030326E-11
MSigDB:LIM_MAMMARY_LUMINAL_PROGENITOR_DN	3.6706283481989427E-11
MSigDB:KEGG_LEISHMANIA_INFECTION	3.737702745490239E-11
MSigDB:PEDERSEN_METASTASIS_BY_ERBB2_ISOFORM_4	3.893266798774549E-11
MSigDB:HASINA_NOL7_TARGETS_UP	3.9195811478698206E-11
MSigDB:BOQUEST_STEM_CELL_CULTURED_VS_FRESH_DN	4.030538537871952E-11
MSigDB:MEISSNER_BRAIN_HCP_WITH_H3K4ME2_AND_H3K27ME3	4.207634912309074E-11
MSigDB:FERRANDO_TAL1_NEIGHBORS	4.4944118288222096E-11
MSigDB:MASSARWEH_TAMOXIFEN_RESISTANCE_UP	4.5052788036155834E-11
MSigDB:TONKS_TARGETS_OF_RUNX1_RUNX1T1_FUSION_ERYTHROCYTE_UP	4.706569007107334E-11
MSigDB:TORCHIA_TARGETS_OF_EWSR1_FLI1_FUSION_DN	4.73567017476987E-11
MSigDB:LIAN_LIPA_TARGETS_3M	4.792522258558483E-11
MSigDB:DOANE_BREAST_CANCER_ESR1_DN	4.8080383855199984E-11
MSigDB:TAVAZOIE_METASTASIS	4.9554785350751E-11
MSigDB:BROWNE_HCMV_INFECTION_30MIN_UP	5.0918419083127834E-11
MSigDB:WEST_ADRENOCORTICAL_TUMOR_MARKERS_DN	5.226513445378224E-11
MSigDB:OSADA_ASCL1_TARGETS_DN	5.412827743869479E-11
MSigDB:WP_IL1_AND_MEGAKARYOCYTES_IN_OBESITY	5.863954447504747E-11
MSigDB:REACTOME_FGFR1B_LIGAND_BINDING_AND_ACTIVATION	5.897665007577007E-11
MSigDB:LOPEZ_MESOTHELIOMA_SURVIVAL_DN	6.085694378031111E-11
MSigDB:REACTOME_SYNTHESIS_OF_GLYCOSYLPHOSPHATIDYLINOSITOL_GPI	6.123798582027778E-11
MSigDB:BIOCARTA_EDG1_PATHWAY	6.156760291051209E-11
MSigDB:REACTOME_GRB2_SOS_PROVIDES_LINKAGE_TO_MAPK_SIGNALING_FOR_INTEGRINS	6.227017980071886E-11
MSigDB:SEMBA_FHIT_TARGETS_UP	6.276949131302214E-11
MSigDB:PROVENZANI_METASTASIS_DN	6.586734837815012E-11
MSigDB:PHONG_TNF_TARGETS_UP	6.588464336657184E-11
MSigDB:WP_EV_RELEASE_FROM_CARDIAC_CELLS_AND_THEIR_FUNCTIONAL_EFFECTS	6.965424527683472E-11
MSigDB:SHARMA_PILOCYTIC_ASTROCYTOMA_LOCATION_UP	7.158405842149115E-11
MSigDB:ACEVEDO_LIVER_CANCER_WITH_H3K27ME3_UP	7.724424587351104E-11
MSigDB:ABBUD_LIF_SIGNALING_1_UP	7.782058382068654E-11
MSigDB:BAKER_HEMATOPOESIS_STAT1_TARGETS	7.850641804716591E-11
MSigDB:MIKKELSEN_NPC_ICP_WITH_H3K4ME3	7.901855846883099E-11
MSigDB:VILIMAS_NOTCH1_TARGETS_DN	7.922969160723973E-11
MSigDB:WP_MODULATION_OF_PI3KAKTMTOR_SIGNALING_BY_BIOACTIVE_SPHINGOLIPIDS	8.38496527102068E-11
MSigDB:LENAOUR_DENDRITIC_CELL_MATURATION_UP	8.971366015734586E-11
MSigDB:HALLMARK_ALLOGRAFT_REJECTION	9.172248388567002E-11
MSigDB:KIM_BIPOLAR_DISORDER_OLIGODENDROCYTE_DENSITY_CORR_DN	9.200027132493906E-11
MSigDB:TSENG_IRS1_TARGETS_DN	9.323238298771E-11
MSigDB:WAGNER_APO2_SENSITIVITY	9.400441830997914E-11
MSigDB:ONDER_CDH1_TARGETS_1_UP	9.430783524279111E-11
MSigDB:MATSUDA_NATURAL_KILLER_DIFFERENTIATION	9.484255218681364E-11
MSigDB:SIMBULAN_UV_RESPONSE_IMMORTALIZED_DN	9.498808250175205E-11
MSigDB:ONGUSAHA_BRCA1_TARGETS_UP	9.552323443049206E-11
MSigDB:BERENJENO_ROCK_SIGNALING_NOT_VIA_RHOA_DN	9.711038303935756E-11
MSigDB:SENESE_HDAC3_TARGETS_UP	9.849090325979808E-11
MSigDB:WP_HIPPOMERLIN_SIGNALING_DYSREGULATION	1.0240153705069818E-10
MSigDB:GRAHAM_CML_QUIESCENT_VS_NORMAL_DIVIDING_DN	1.056486272569275E-10
MSigDB:LEE_EARLY_T_LYMPHOCYTE_DN	1.061860121021567E-10
MSigDB:GAVIN_FOXP3_TARGETS_CLUSTER_T4	1.0719712921914507E-10
MSigDB:MARTINEZ_TP53_TARGETS_UP	1.0721994897918986E-10
MSigDB:KENNY_CTNNB1_TARGETS_DN	1.0956621884904746E-10
MSigDB:FONTAINE_THYROID_TUMOR_UNCERTAIN_MALIGNANCY_UP	1.108637817698007E-10
MSigDB:LEI_HOXC8_TARGETS_DN	1.2033566871024196E-10
MSigDB:WU_HBX_TARGETS_2_DN	1.222980679027869E-10
MSigDB:PID_FGF_PATHWAY	1.2869320926184837E-10
MSigDB:YIH_RESPONSE_TO_ARSENITE_C5	1.3178872266178936E-10
MSigDB:SMID_BREAST_CANCER_RELAPSE_IN_BONE_DN	1.3626324416130964E-10
MSigDB:HERNANDEZ_MITOTIC_ARREST_BY_DOCETAXEL_2_DN	1.4028653623377544E-10
MSigDB:MATTIOLI_MULTIPLE_MYELOMA_WITH_14Q32_TRANSLOCATIONS	1.4257119071980518E-10
MSigDB:REACTOME_COLLAGEN_BIOSYNTHESIS_AND_MODIFYING_ENZYMES	1.4317099179036287E-10
MSigDB:JISON_SICKLE_CELL_DISEASE_UP	1.4416748298007584E-10
MSigDB:PID_GLYPICAN_1PATHWAY	1.508308989955739E-10
MSigDB:RUTELLA_RESPONSE_TO_HGF_DN	1.6003676652950497E-10
MSigDB:MARIADASON_REGULATED_BY_HISTONE_ACETYLATION_DN	1.7204854330420922E-10
MSigDB:CERVERA_SDHB_TARGETS_2	1.775343083699673E-10
MSigDB:WP_CORI_CYCLE	1.7929328825748475E-10
MSigDB:REACTOME_IRAK4_DEFICIENCY_TLR2_4	1.8026090684564196E-10
MSigDB:HAMAI_APOPTOSIS_VIA_TRAIL_DN	1.99986132036617E-10
MSigDB:MULLIGHAN_MLL_SIGNATURE_2_UP	2.0382308176875035E-10
MSigDB:LAMB_CCND1_TARGETS	2.1106435142705557E-10
MSigDB:WP_PROSTAGLANDIN_SIGNALING	2.139128909070887E-10
MSigDB:MULLIGHAN_MLL_SIGNATURE_2_DN	2.237055822344179E-10
MSigDB:MARTINELLI_IMMATURE_NEUTROPHIL_DN	2.2917195998380793E-10
MSigDB:WP_PHOTODYNAMIC_THERAPYINDUCED_NFKB_SURVIVAL_SIGNALING	2.3036274495387607E-10
MSigDB:ZHAN_MULTIPLE_MYELOMA_CD1_VS_CD2_DN	2.516023280184146E-10
MSigDB:FIGUEROA_AML_METHYLATION_CLUSTER_4_UP	2.677447631427732E-10
MSigDB:HATADA_METHYLATED_IN_LUNG_CANCER_UP	2.707131271566799E-10
MSigDB:WILSON_PROTEASES_AT_TUMOR_BONE_INTERFACE_UP	2.988959262867026E-10
MSigDB:MENSE_HYPOXIA_UP	3.1292070612286437E-10
MSigDB:PID_INTEGRIN_CS_PATHWAY	3.179113069794406E-10
MSigDB:REACTOME_PLATELET_AGGREGATION_PLUG_FORMATION	3.2824837452491494E-10
MSigDB:RADMACHER_AML_PROGNOSIS	3.418952556769182E-10
MSigDB:WINTER_HYPOXIA_UP	3.5074414870803766E-10
MSigDB:WP_ACUTE_VIRAL_MYOCARDITIS	3.7651167070755915E-10
MSigDB:GAUSSMANN_MLL_AF4_FUSION_TARGETS_A_DN	3.8315118470769156E-10
MSigDB:DELYS_THYROID_CANCER_DN	4.045976163623366E-10
MSigDB:HALLMARK_TNFA_SIGNALING_VIA_NFKB	4.13862142494177E-10
MSigDB:KLEIN_TARGETS_OF_BCR_ABL1_FUSION	4.217406831358976E-10
MSigDB:WP_MACROPHAGE_MARKERS	4.2685872327741495E-10
MSigDB:KASLER_HDAC7_TARGETS_1_UP	4.2783118012335863E-10
MSigDB:ALTEMEIER_RESPONSE_TO_LPS_WITH_MECHANICAL_VENTILATION	4.3362003155935703E-10
MSigDB:TAVOR_CEBPA_TARGETS_UP	4.369346965273775E-10
MSigDB:ZHOU_INFLAMMATORY_RESPONSE_LPS_UP	4.421735021748658E-10
MSigDB:INAMURA_LUNG_CANCER_SCC_DN	4.539753236306574E-10
MSigDB:BRUINS_UVC_RESPONSE_VIA_TP53_GROUP_D	4.557869073790621E-10
MSigDB:HENDRICKS_SMARCA4_TARGETS_DN	4.628574714700812E-10
MSigDB:ZHAN_V1_LATE_DIFFERENTIATION_GENES_UP	4.763807900714942E-10
MSigDB:MIKKELSEN_NPC_HCP_WITH_H3K4ME3_AND_H3K27ME3	4.825263727277409E-10
MSigDB:ZHONG_RESPONSE_TO_AZACITIDINE_AND_TSA_UP	4.905598717055927E-10
MSigDB:MORI_EMU_MYC_LYMPHOMA_BY_ONSET_TIME_DN	4.945564698878228E-10
MSigDB:WP_NEOVASCULARISATION_PROCESSES	5.04052950334526E-10
MSigDB:LI_INDUCED_T_TO_NATURAL_KILLER_DN	5.265697304586064E-10
MSigDB:REACTOME_FGFR1C_LIGAND_BINDING_AND_ACTIVATION	5.324471689958437E-10
MSigDB:FINAK_BREAST_CANCER_SDPP_SIGNATURE	5.325182416831941E-10
MSigDB:BRUINS_UVC_RESPONSE_VIA_TP53_GROUP_A	5.368578551843416E-10
MSigDB:KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_HEPARAN_SULFATE	5.563527705389844E-10
MSigDB:OSWALD_HEMATOPOIETIC_STEM_CELL_IN_COLLAGEN_GEL_DN	5.590520876872175E-10
MSigDB:WP_ALLOGRAFT_REJECTION	5.829746703691609E-10
MSigDB:WANG_TARGETS_OF_MLL_CBP_FUSION_UP	5.90248342835862E-10
MSigDB:DASU_IL6_SIGNALING_SCAR_DN	5.913076080888156E-10
MSigDB:HALLMARK_INFLAMMATORY_RESPONSE	5.972491356698496E-10
MSigDB:WEST_ADRENOCORTICAL_TUMOR_DN	6.19037776188486E-10
MSigDB:WATANABE_RECTAL_CANCER_RADIOTHERAPY_RESPONSIVE_DN	6.3349981004249E-10
MSigDB:BLANCO_MELO_INFLUENZA_A_INFECTION_A594_CELLS_UP	6.47595377487229E-10
MSigDB:HOFFMAN_CLOCK_TARGETS_DN	6.994702239856537E-10
MSigDB:MANNE_COVID19_NONICU_VS_HEALTHY_DONOR_PLATELETS_DN	7.074272428333553E-10
MSigDB:REACTOME_FGFR3_LIGAND_BINDING_AND_ACTIVATION	7.128219221034065E-10
MSigDB:MIKKELSEN_ES_LCP_WITH_H3K4ME3	7.201635974826046E-10
MSigDB:IWANAGA_CARCINOGENESIS_BY_KRAS_UP	7.354707602810385E-10
MSigDB:WP_MAMMARY_GLAND_DEVELOPMENT_PATHWAY_EMBRYONIC_DEVELOPMENT_STAGE_1_OF_4	7.39532601494485E-10
MSigDB:WP_FOLATE_METABOLISM	7.677372001965648E-10
MSigDB:GERY_CEBP_TARGETS	7.797280739630527E-10
MSigDB:WANG_ADIPOGENIC_GENES_REPRESSED_BY_SIRT1	7.80829314352977E-10
MSigDB:REACTOME_O_GLYCOSYLATION_OF_TSR_DOMAIN_CONTAINING_PROTEINS	7.87411971643811E-10
MSigDB:SIMBULAN_PARP1_TARGETS_UP	7.906492728821857E-10
MSigDB:RASHI_RESPONSE_TO_IONIZING_RADIATION_6	8.199797169339184E-10
MSigDB:SHANK_TAL1_TARGETS_DN	8.316819954508283E-10
MSigDB:REACTOME_P130CAS_LINKAGE_TO_MAPK_SIGNALING_FOR_INTEGRINS	8.3951226334113E-10
MSigDB:VERRECCHIA_DELAYED_RESPONSE_TO_TGFB1	8.839635104504886E-10
MSigDB:AMIT_SERUM_RESPONSE_240_MCF10A	8.992606991611092E-10
MSigDB:WP_T_CELL_MODULATION_IN_PANCREATIC_CANCER	9.179341587848059E-10
MSigDB:SEKI_INFLAMMATORY_RESPONSE_LPS_UP	9.246077924705295E-10
MSigDB:VALK_AML_CLUSTER_5	9.319062021314202E-10
MSigDB:GALINDO_IMMUNE_RESPONSE_TO_ENTEROTOXIN	9.419529052362447E-10
MSigDB:BANDRES_RESPONSE_TO_CARMUSTIN_MGMT_48HR_UP	9.631506060395514E-10
MSigDB:ZHENG_GLIOBLASTOMA_PLASTICITY_DN	9.826020614747805E-10
MSigDB:WP_AEROBIC_GLYCOLYSIS	1.026528799455622E-9
MSigDB:REACTOME_FGFR1_LIGAND_BINDING_AND_ACTIVATION	1.0661786351693213E-9
MSigDB:GRABARCZYK_BCL11B_TARGETS_UP	1.1171954216158226E-9
MSigDB:REACTOME_FGFRL1_MODULATION_OF_FGFR1_SIGNALING	1.1205355180657852E-9
MSigDB:REACTOME_HEMOSTASIS	1.1238428707228362E-9
MSigDB:ELLWOOD_MYC_TARGETS_DN	1.1275980681193823E-9
MSigDB:WP_MAMMARY_GLAND_DEVELOPMENT_PATHWAY_PUBERTY_STAGE_2_OF_4	1.1621923975381567E-9
MSigDB:REACTOME_NCAM_SIGNALING_FOR_NEURITE_OUT_GROWTH	1.1917766502567922E-9
MSigDB:YAO_HOXA10_TARGETS_VIA_PROGESTERONE_DN	1.2353398564080176E-9
MSigDB:REACTOME_FGFR2C_LIGAND_BINDING_AND_ACTIVATION	1.2570706723276608E-9
MSigDB:KAMIKUBO_MYELOID_CEBPA_NETWORK	1.258405366117035E-9
MSigDB:REACTOME_ADVANCED_GLYCOSYLATION_ENDPRODUCT_RECEPTOR_SIGNALING	1.2810698937935991E-9
MSigDB:GAVIN_PDE3B_TARGETS	1.2924251768464898E-9
MSigDB:YAO_HOXA10_TARGETS_VIA_PROGESTERONE_UP	1.3604165266577296E-9
MSigDB:HOFFMANN_SMALL_PRE_BII_TO_IMMATURE_B_LYMPHOCYTE_UP	1.4005123249892486E-9
MSigDB:GOZGIT_ESR1_TARGETS_UP	1.4588990565592936E-9
MSigDB:LIM_MAMMARY_LUMINAL_MATURE_DN	1.4731589890229038E-9
MSigDB:REACTOME_GP1B_IX_V_ACTIVATION_SIGNALLING	1.4755727947960934E-9
MSigDB:NABA_COLLAGENS	1.539668072773046E-9
MSigDB:REACTOME_COLLAGEN_CHAIN_TRIMERIZATION	1.539668072773046E-9
MSigDB:ALONSO_METASTASIS_NEURAL_UP	1.548051956885063E-9
MSigDB:REACTOME_ATTACHMENT_OF_GPI_ANCHOR_TO_UPAR	1.6404520735828654E-9
MSigDB:REACTOME_O_LINKED_GLYCOSYLATION_OF_MUCINS	1.6476419572020725E-9
MSigDB:REACTOME_PHOSPHOLIPASE_C_MEDIATED_CASCADE_FGFR4	1.6594008217920756E-9
MSigDB:LU_TUMOR_VASCULATURE_DN	1.7163500382581623E-9
MSigDB:REACTOME_FGFR2_LIGAND_BINDING_AND_ACTIVATION	1.738372030110071E-9
MSigDB:TAKEDA_TARGETS_OF_NUP98_HOXA9_FUSION_3D_DN	1.756673766576039E-9
MSigDB:PID_INTEGRIN_A4B1_PATHWAY	1.7680989836094596E-9
MSigDB:LEIN_CHOROID_PLEXUS_MARKERS	1.78398061315007E-9
MSigDB:REACTOME_NCAM1_INTERACTIONS	1.8962841968778007E-9
MSigDB:KORKOLA_CHORIOCARCINOMA_UP	1.9233674318383263E-9
MSigDB:WP_NRP1TRIGGERED_SIGNALING_PATHWAYS_IN_PANCREATIC_CANCER	1.949079557976548E-9
MSigDB:HALLMARK_UV_RESPONSE_DN	2.056344533903317E-9
MSigDB:SENESE_HDAC1_TARGETS_DN	2.064940948778826E-9
MSigDB:REACTOME_TRAFFICKING_AND_PROCESSING_OF_ENDOSOMAL_TLR	2.0937928264245652E-9
MSigDB:WP_PATHOGENESIS_OF_SARSCOV2_MEDIATED_BY_NSP9NSP10_COMPLEX	2.139884188523158E-9
MSigDB:KAYO_AGING_MUSCLE_UP	2.201479039092262E-9
MSigDB:BIOCARTA_IL5_PATHWAY	2.2027158841305246E-9
MSigDB:DOUGLAS_BMI1_TARGETS_UP	2.2363539964249507E-9
MSigDB:CUI_GLUCOSE_DEPRIVATION	2.270745385753933E-9
MSigDB:SOGA_COLORECTAL_CANCER_MYC_DN	2.303035948574704E-9
MSigDB:COATES_MACROPHAGE_M1_VS_M2_DN	2.3276128136729767E-9
MSigDB:PEPPER_CHRONIC_LYMPHOCYTIC_LEUKEMIA_UP	2.336592133809928E-9
MSigDB:HENDRICKS_SMARCA4_TARGETS_UP	2.3788752052993418E-9
MSigDB:RICKMAN_TUMOR_DIFFERENTIATED_WELL_VS_POORLY_DN	2.468753559258933E-9
MSigDB:VERRECCHIA_RESPONSE_TO_TGFB1_C4	2.497388983583872E-9
MSigDB:PODAR_RESPONSE_TO_ADAPHOSTIN_DN	2.537682054521674E-9
MSigDB:REACTOME_DIGESTION_AND_ABSORPTION	2.717485042985669E-9
MSigDB:GAVIN_FOXP3_TARGETS_CLUSTER_P7	2.7183208828825552E-9
MSigDB:WIERENGA_STAT5A_TARGETS_DN	2.742589596545449E-9
MSigDB:REACTOME_LATE_SARS_COV_2_INFECTION_EVENTS	2.7789235277790184E-9
MSigDB:ONKEN_UVEAL_MELANOMA_UP	2.796856401631362E-9
MSigDB:SATO_SILENCED_BY_METHYLATION_IN_PANCREATIC_CANCER_1	2.81909125788787E-9
MSigDB:KEGG_INTESTINAL_IMMUNE_NETWORK_FOR_IGA_PRODUCTION	2.9978956467084767E-9
MSigDB:MEISSNER_NPC_HCP_WITH_H3_UNMETHYLATED	3.070803618372757E-9
MSigDB:REACTOME_OTHER_SEMAPHORIN_INTERACTIONS	3.1148745895104377E-9
MSigDB:SARTIPY_BLUNTED_BY_INSULIN_RESISTANCE_UP	3.1970933540288874E-9
MSigDB:JIANG_TIP30_TARGETS_UP	3.212152264439458E-9
MSigDB:FOSTER_TOLERANT_MACROPHAGE_DN	3.232008892495198E-9
MSigDB:REACTOME_DIGESTION	3.265204739457655E-9
MSigDB:ZHENG_BOUND_BY_FOXP3	3.2876020138108705E-9
MSigDB:RAY_ALZHEIMERS_DISEASE	3.297290789000452E-9
MSigDB:BLANCO_MELO_COVID19_BRONCHIAL_EPITHELIAL_CELLS_SARS_COV_2_INFECTION_UP	3.524248984163897E-9
MSigDB:XU_GH1_AUTOCRINE_TARGETS_DN	3.5589862087024628E-9
MSigDB:BIOCARTA_ERYTH_PATHWAY	3.845198553560021E-9
MSigDB:VANDESLUIS_COMMD1_TARGETS_GROUP_3_UP	3.850648204032715E-9
MSigDB:WP_COMPLEMENT_SYSTEM_IN_NEURONAL_DEVELOPMENT_AND_PLASTICITY	3.871226935678717E-9
MSigDB:WENG_POR_TARGETS_LIVER_DN	3.893874093491063E-9
MSigDB:BIOCARTA_INFLAM_PATHWAY	3.983561093612988E-9
MSigDB:REACTOME_GLYCOGEN_BREAKDOWN_GLYCOGENOLYSIS	4.132848426431613E-9
MSigDB:SCHAEFFER_PROSTATE_DEVELOPMENT_48HR_DN	4.154064185596675E-9
MSigDB:HELLER_HDAC_TARGETS_DN	4.1639619003085305E-9
MSigDB:CAIRO_LIVER_DEVELOPMENT_DN	4.209758259883083E-9
MSigDB:HALLMARK_IL6_JAK_STAT3_SIGNALING	4.2449561905258325E-9
MSigDB:NEMETH_INFLAMMATORY_RESPONSE_LPS_UP	4.311601765668016E-9
MSigDB:OSMAN_BLADDER_CANCER_UP	4.3592222922824025E-9
MSigDB:REACTOME_N_GLYCAN_TRIMMING_AND_ELONGATION_IN_THE_CIS_GOLGI	4.5870535100474904E-9
MSigDB:BIOCARTA_ERAD_PATHWAY	4.788113215521291E-9
MSigDB:MOOTHA_GLUCONEOGENESIS	4.799662053946762E-9
MSigDB:WP_COVID19_ADVERSE_OUTCOME_PATHWAY	4.849961438864387E-9
MSigDB:WP_INTERACTIONS_OF_NATURAL_KILLER_CELLS_IN_PANCREATIC_CANCER	4.920559112112621E-9
MSigDB:WP_PRIMARY_FOCAL_SEGMENTAL_GLOMERULOSCLEROSIS_FSGS	4.963383453505973E-9
MSigDB:SMID_BREAST_CANCER_RELAPSE_IN_LUNG_DN	5.704266970873949E-9
MSigDB:BIOCARTA_BBCELL_PATHWAY	5.723375981672366E-9
MSigDB:KATSANOU_ELAVL1_TARGETS_DN	5.813901184440617E-9
MSigDB:MARTIN_VIRAL_GPCR_SIGNALING_UP	5.858130865833996E-9
MSigDB:GRAESSMANN_APOPTOSIS_BY_SERUM_DEPRIVATION_DN	6.0305990534684865E-9
MSigDB:LEI_MYB_TARGETS	6.069890967215242E-9
MSigDB:BLANCO_MELO_RESPIRATORY_SYNCYTIAL_VIRUS_INFECTION_A594_CELLS_UP	6.327541947451072E-9
MSigDB:FIGUEROA_AML_METHYLATION_CLUSTER_1_UP	6.328593038376486E-9
MSigDB:REACTOME_CROSSLINKING_OF_COLLAGEN_FIBRILS	6.4514720420445856E-9
MSigDB:WP_OSTEOPONTIN_SIGNALING	6.556046288170623E-9
MSigDB:BERENJENO_TRANSFORMED_BY_RHOA_REVERSIBLY_DN	6.566174219796226E-9
MSigDB:BRACHAT_RESPONSE_TO_METHOTREXATE_DN	6.571670452094027E-9
MSigDB:BANDRES_RESPONSE_TO_CARMUSTIN_WITHOUT_MGMT_48HR_UP	6.670213977368235E-9
MSigDB:REACTOME_FRS_MEDIATED_FGFR1_SIGNALING	6.7538647768111905E-9
MSigDB:DUNNE_TARGETS_OF_AML1_MTG8_FUSION_UP	6.8369351191279985E-9
MSigDB:REACTOME_FRS_MEDIATED_FGFR4_SIGNALING	7.062103592847914E-9
MSigDB:REACTOME_PHOSPHOLIPASE_C_MEDIATED_CASCADE_FGFR2	7.161552821257358E-9
MSigDB:BLANCO_MELO_COVID19_SARS_COV_2_INFECTION_A594_ACE2_EXPRESSING_CELLS_RUXOLITINIB_DN	7.596944956556095E-9
MSigDB:WP_NANOMATERIALINDUCED_INFLAMMASOME_ACTIVATION	7.636123909942788E-9
MSigDB:MCBRYAN_PUBERTAL_TGFB1_TARGETS_DN	7.835902941945037E-9
MSigDB:DARWICHE_SQUAMOUS_CELL_CARCINOMA_UP	7.849506952186429E-9
MSigDB:WP_CARDIAC_PROGENITOR_DIFFERENTIATION	8.036957565708557E-9
