	C-m	C-n	IG-n	IG-m	IG-m 44
TMEM72-AS1	71	1	0	25	32
RP11-285G1.2	9	0	0	0	5
TMEM72	7	2	0	0	21
RP11-285G1.9	10	2	0	3	51
RP11-285G1.14	43	5	4	155	243
RASSF4	8437	1093	584	18390	8359
C10orf10	787	303	120	923	841
C10orf25	22	26	17	10	27
ZNF22	203	374	260	173	127
CEP164P1	3	0	3	0	7
RP11-285G1.15	0	0	0	0	0
DUXAP4	0	0	0	0	0
RP11-445N18.3	0	0	0	1	1
RSU1P2	0	0	0	2	1
CUBNP3	0	0	0	0	0
RP11-445N18.7	0	0	0	0	0
ANKRD54P1	0	0	0	0	0
ANKRD30BP3	0	0	0	0	0
MIR3156-1	0	0	0	0	0
RP11-445N18.5	0	0	0	0	0
RP11-432I13.5	0	0	0	0	0
RP11-432I13.6	0	1	3	0	0
RNU6-1207P	0	0	0	0	0
CUBNP2	0	0	0	0	6
OR6D1P	0	0	0	0	0
OR13A1	0	1	0	0	0
ALOX5	39	165	3	11	21
RP11-67C2.2	0	3	0	0	3
MARCH8	482	777	472	273	269
ZFAND4	53	119	101	18	46
AGAP10P	9	11	0	9	2
FAM21FP	33	16	10	42	46
RP11-671E7.1	4	4	1	1	7
FAM21C	982	1840	1320	589	498
RP11-175I17.6	0	0	0	0	0
FAM25E	0	0	0	0	0
AGAP4	86	126	84	109	54
PARGP1	92	114	65	29	86
RNA5SP310	0	2	0	0	0
RPL35AP25	0	1	0	0	0
TIMM23	1244	1954	1370	1803	605
NCOA4	3682	7427	4609	1446	2021
MSMB	0	2	0	0	1
RPL23AP61	0	0	0	0	2
AGAP7P	4	1	2	7	0
ANTXRLP1	3	0	0	5	4
ANTXRL	4	2	0	6	17
AGAP14P	2	9	0	0	0
FAM25BP	0	0	0	0	0
CH17-335B8.4	0	0	0	0	0
ANXA8L1	2	3	0	0	0
HNRNPA1P33	0	0	0	1	0
NPY4R	0	2	0	0	0
GPRIN2	1	197	3	9	5
SYT15	42	5	2	15	21
RP11-38L15.3	20	16	4	0	15
RP11-38L15.2	1	1	0	0	2
FAM35BP	8	3	1	6	1
RP11-38L15.8	18	0	3	6	5
RHEBP1	1	0	0	0	1
RN7SL248P	0	0	0	0	1
CTSLP2	2	2	0	0	0
GLUD1P7	1	8	2	0	2
DUSP8P3	0	5	2	0	0
BMS1P1	90	127	76	27	125
RNA5SP311	1	4	1	0	4
AGAP13P	13	9	4	1	2
FRMPD2B	3	1	0	0	0
PTPN20	11	50	1	0	0
GDF10	0	1	0	0	2
GDF2	0	2	0	0	2
RBP3	3	1	0	3	5
ZNF488	59	36	10	59	43
ANXA8	0	12	0	2	4
RP11-144G6.13	1	0	0	0	1
FAM25G	0	0	0	2	1
RP11-144G6.4	0	0	0	0	0
AGAP9	92	103	114	105	101
RP11-144G6.12	5	8	6	0	9
RNA5SP312	0	0	0	0	1
BMS1P2	7	2	13	2	14
GLUD1P8	2	1	2	0	0
DUSP8P4	0	0	1	0	0
LINC00864	0	3	0	0	3
FAM35DP	21	12	12	10	29
RN7SL453P	0	0	0	0	0
RHEBP2	6	5	9	9	21
ABC7-42404400C24.1	21	19	10	0	11
CH17-360D5.2	0	44	0	0	4
CH17-360D5.1	0	0	0	0	0
CH17-360D5.3	1	43	0	0	1
FAM25C	0	0	0	0	0
AGAP12P	18	42	3	0	1
RNA5SP315	0	0	0	0	0
BMS1P7	1	2	0	0	0
PTPN20CP	0	1	0	0	0
FRMPD2	18	18	0	3	4
RP11-542E6.3	0	0	0	0	0
MAPK8	506	1068	503	149	145
RP11-541M12.6	2	30	76	4	3
ARHGAP22	113	1410	1881	260	107
ARHGAP22-IT1	0	0	0	0	0
RP11-541M12.3	0	0	0	0	2
RP11-534L6.5	0	0	0	0	1
RP11-534L6.2	0	0	0	0	0
WDFY4	13	12	0	1	10
RP11-534L6.3	0	0	0	0	0
RP11-563N6.6	0	0	0	0	0
RP11-523O18.7	0	0	0	0	0
LRRC18	0	1	0	0	0
RP11-523O18.5	0	0	0	7	4
RP11-523O18.1	3	0	0	0	1
MIR4294	0	0	0	0	2
VSTM4	27	25	4	132	177
FAM170B-AS1	0	0	0	0	3
FAM170B	0	1	0	0	0
C10orf128	1	10	0	9	1
C10orf71-AS1	0	0	0	3	2
C10orf71	4	6	0	24	17
DRGX	0	2	0	0	2
RP11-123B3.2	0	0	0	3	0
ERCC6	135	297	1948	64	84
PGBD3	0	0	0	0	0
RP11-140C5.3	0	0	0	0	0
CHAT	1	0	0	0	0
SLC18A3	0	1	3	1	2
C10orf53	0	0	0	0	0
OGDHL	1065	704	18	128	65
RP11-507K13.4	1	1	0	0	1
RP11-507K13.6	1	2	1	6	0
PARG	703	808	594	350	319
RP11-526K21.2	1	0	0	0	0
TIMM23B	104	261	174	27	111
LINC00843	12	9	8	0	14
RNA5SP317	0	0	2	0	2
AGAP6	323	314	225	203	174
FAM21EP	36	18	9	72	50
SLC9A3P3	0	0	0	0	1
FAM21A	1455	1953	1369	735	540
SLC9A3P1	0	1	0	0	0
ASAH2	65	42	30	8	42
DYNC1I2P1	24	20	18	9	1
SGMS1	285	506	615	277	209
RP11-521C22.2	6	8	11	9	9
RP11-512N4.2	0	0	0	0	2
RNU7-107P	0	0	0	0	0
SGMS1-AS1	191	70	70	195	110
RP11-50E11.2	0	0	0	0	0
BEND3P1	1	38	36	7	3
NUTM2HP	2	2	0	0	1
RP11-564C4.4	0	0	0	0	0
CTSLP4	0	1	0	7	3
PGGT1BP1	0	1	0	0	1
ASAH2B	93	140	127	84	96
A1CF	6	4	3	0	16
RP11-449O16.2	0	0	0	0	2
CCDC58P2	0	0	0	0	0
RP11-96B5.4	1	0	0	3	0
PRKG1	775	8	83	641	853
RP11-96B5.3	0	0	0	10	1
RP11-40C11.2	0	0	0	0	1
MIR605	0	1	0	0	1
RP11-539E19.2	0	0	0	0	4
RSU1P3	1	0	0	0	0
CSTF2T	970	1141	976	564	430
PRKG1-AS1	36	6	4	40	93
DKK1	536	363	606	211	149
RP11-346D6.4	1	1	0	0	2
THAP12P3	0	0	0	0	1
LINC01468	1	0	0	0	1
RP11-556E13.1	0	0	0	0	0
MBL2	0	3	0	0	0
RP11-319F12.2	4	33	0	0	0
SNRPEP8	0	0	0	0	0
RP11-71J2.1	0	0	0	0	0
RNA5SP318	0	0	0	0	0
RP11-449J3.3	0	0	0	0	0
PCDH15	117	17	15	60	62
RNU6-687P	0	0	0	0	0
RP11-257I14.1	0	0	0	0	0
NEFMP1	0	0	0	0	0
MIR548F1	0	0	0	0	0
RP11-264A11.1	0	0	0	3	0
RP11-168O22.1	0	0	0	0	1
RP11-598C10.2	0	0	0	0	0
RP11-598C10.1	0	0	0	0	0
MTRNR2L5	0	0	0	0	0
GAPDHP21	0	0	2	5	0
RP11-478B11.2	0	0	0	0	0
ZWINT	245	2297	2646	166	100
MIR3924	0	0	0	0	0
RP11-550A9.1	0	0	0	0	0
RP11-448K10.1	1	0	0	0	0
MRPS35P3	0	0	0	0	0
RP11-123G9.1	0	0	0	0	3
IPMK	631	374	179	103	154
TPT1P10	0	0	0	0	1
CISD1	496	643	736	854	231
RP11-179B15.5	0	0	2	4	2
RP11-179B15.6	0	0	0	0	0
UBE2D1	413	826	431	191	135
TFAM	489	1519	816	295	272
BICC1	2072	9278	1737	174	333
FAM133CP	2	0	0	0	2
RN7SKP196	0	0	0	0	2
LINC00844	0	0	1	0	0
RP11-561G1.3	0	0	0	0	0
TRAF6P1	0	1	0	0	0
PHYHIPL	129	2	0	10	11
FAM13C	66	13	34	94	249
RP11-443O13.3	0	0	0	0	1
MRPL50P4	0	1	0	0	0
RP11-135D11.2	0	0	0	0	0
SLC16A9	98	70	3	6	34
MRLN	23	0	0	831	97
CCDC6	1680	2255	1917	934	862
LINC01553	0	0	0	0	0
ANK3	407	314	1779	239	597
RP11-388P9.2	5	8	19	0	9
RP11-388P9.3	0	0	1	0	1
ARL4AP1	0	0	0	0	0
RP11-131N11.4	0	0	0	0	0
CDK1	2	1665	2357	72	32
RHOBTB1	868	507	228	361	540
RNU2-72P	0	0	0	0	2
LINC00845	0	0	0	0	0
TMEM26	2	2	116	19	24
TMEM26-AS1	0	0	3	0	0
C10orf107	6	2	16	16	11
RP11-63A2.2	0	0	0	0	0
RP11-491H19.1	1	0	0	0	1
ARID5B	1252	1484	852	364	669
RTKN2	193	492	194	101	95
RP11-120C12.3	1	0	0	3	2
RN7SL591P	0	0	0	0	0
ZNF365	59	162	113	13	20
ALDH7A1P4	0	0	0	0	0
RP11-436D10.3	3	4	1	3	6
ADO	619	939	908	433	294
EGR2	18	30	17	19	16
RNU6-543P	0	0	0	0	0
RP11-144G16.1	0	0	0	0	1
NRBF2	582	590	402	190	153
JMJD1C	1076	1583	1154	348	801
TATDN1P1	2	0	0	2	2
RP11-351O1.4	0	0	0	0	3
MIR1296	0	0	0	0	0
PRELID1P3	0	0	1	0	0
JMJD1C-AS1	7	21	17	20	21
RP11-351O1.3	0	0	0	0	0
REEP3	659	1661	2060	545	603
MRPL35P2	0	1	1	0	2
RP11-111N20.4	0	0	0	0	0
RP11-170M17.1	0	0	1	0	0
RP11-170M17.2	1	8	3	8	11
RP11-174J11.1	0	0	0	0	1
DBF4P1	1	2	2	0	0
RPL17P35	0	0	0	0	0
CYP2C61P	0	0	0	0	0
ANXA2P3	1	3	0	0	3
RP11-179K3.2	2	0	0	0	0
NEK4P3	0	1	0	0	0
RP11-252C24.3	0	0	0	4	3
MYL6P3	2	0	0	0	0
RP11-252C24.2	0	0	0	0	0
RP11-428G2.1	0	0	0	10	0
LINC01515	14	52	29	0	8
CTNNA3	10	5	5	6	27
RP11-210G22.1	0	0	0	0	0
RP11-65E10.1	0	0	0	0	0
LRRTM3	5	2	1	1	5
RP11-344A5.1	0	0	0	0	0
RP11-93L14.1	0	0	0	0	0
MIR7151	0	0	0	0	0
AKR1B10P1	1	1	0	0	0
RP11-57G10.1	0	1	0	0	0
DNAJC12	13	18	31	31	11
RNU6-1250P	0	0	0	0	0
RN7SL394P	0	0	0	0	0
DNAJC19P1	0	0	0	0	0
RP11-57G10.8	6	6	4	7	58
RNU6-523P	0	0	0	0	0
RPL12P8	0	3	1	0	1
SIRT1	447	748	538	159	249
HERC4	1136	2246	3004	822	929
RP11-474D14.2	5	1	8	0	8
RN7SL220P	1	0	0	0	2
POU5F1P5	0	0	0	0	0
MYPN	243	26	265	825	863
RN7SKP202	0	0	0	0	0
ATOH7	1	3	4	6	4
RP11-153K11.3	0	2	0	0	2
KRT19P4	0	0	0	0	0
PBLD	283	246	166	170	228
HNRNPH3	1391	3674	3732	1445	1706
RUFY2	188	577	469	100	95
DNA2	139	531	345	47	51
RP11-9E13.4	0	1	0	0	0
RNA5SP319	0	0	0	0	0
SLC25A16	947	762	335	215	171
RP11-524O24.2	0	0	0	0	0
TMEM14DP	0	1	0	0	0
TET1	84	50	37	11	24
COX20P1	0	3	0	1	0
RP11-119F7.3	0	1	0	8	3
RP11-119F7.5	24	3	9	21	8
RP11-119F7.6	0	0	0	0	5
CCAR1	2068	3620	2628	1321	995
SNORD98	1	4	2	0	1
MIR1254-1	13	36	15	1	9
STOX1	63	33	3	10	15
RNU6-697P	0	0	0	0	0
DDX50	322	1249	999	564	336
RNU6-571P	0	0	0	0	0
DDX21	2642	6703	4227	858	1691
KIF1BP	789	1413	1479	552	386
MED28P1	0	2	4	0	7
ACTBP14	0	0	0	0	4
SRGN	317	1698	5118	634	643
VPS26A	944	2959	1785	374	317
RP11-259F16.3	0	0	0	3	3
SUPV3L1	504	659	441	506	317
RP11-227H15.4	5	6	5	5	27
HKDC1	1409	3152	159	72	89
RP11-227H15.5	2	7	0	0	1
HK1	1334	5584	5445	2264	1365
RP11-227H15.7	0	0	0	0	0
TACR2	8	3	13	12	8
ATP5G1P7	0	0	0	0	0
TSPAN15	142	401	27	43	25
TMEM256P1	0	0	0	0	0
NEUROG3	4	0	0	0	1
RP11-343J3.2	1	0	0	0	0
MTATP6P23	0	0	0	0	0
MTCO2P23	0	0	0	0	0
MTCO1P23	0	0	0	0	0
MTND2P15	0	0	0	0	0
MTND1P20	0	0	0	0	1
C10orf35	46	229	54	53	11
RP11-242G20.1	0	0	0	0	1
RPL5P26	0	0	0	0	0
COL13A1	182	261	873	371	150
RP11-262I2.2	0	1	0	0	0
H2AFY2	299	1148	286	114	54
AIFM2	174	843	312	516	178
TYSND1	110	607	316	152	100
SAR1A	1379	2514	2588	1190	1018
CALM2P2	16	19	18	1	32
RP11-367H5.8	0	0	0	0	0
PPA1	2157	4325	2525	1219	559
NPFFR1	4	4	3	0	2
LRRC20	395	757	391	127	47
CEP57L1P1	1	1	0	0	0
EIF4EBP2	737	3080	2159	374	412
NODAL	0	1	1	0	1
RP11-104F15.9	1	1	0	0	2
PALD1	322	194	37	16	13
YY1P1	1	0	0	0	0
PRF1	2	0	0	0	1
ADAMTS14	3599	3542	159	1749	1449
TBATA	3	4	0	0	2
RP11-399N22.3	0	0	0	0	0
SGPL1	1881	2396	1219	563	646
PCBD1	1533	1985	524	1092	282
RP11-432J9.3	0	0	0	0	1
RP11-432J9.6	0	0	0	0	0
UNC5B	36	59	19	45	43
UNC5B-AS1	8	6	2	126	45
SLC29A3	147	159	32	41	14
RP11-327E2.5	19	4	0	18	1
CDH23	20	37	4	12	61
CDH23-AS1	0	0	0	0	0
C10orf105	1	2	0	4	39
C10orf54	865	222	143	1421	614
MIR7152	0	0	0	0	0
PSAP	26171	40095	20840	37569	19227
RNU7-38P	0	0	0	0	2
RP11-472G21.2	2	0	0	1	1
CHST3	687	3228	1502	399	715
RP11-150D20.5	2	0	0	2	0
SPOCK2	1359	968	663	6936	2118
ASCC1	618	811	750	467	412
RP11-570G20.1	0	1	2	4	0
ANAPC16	1177	2022	1448	2865	988
DDIT4	291	730	487	244	90
RP11-442H21.2	0	0	0	0	0
DNAJB12	1508	1354	1383	1358	784
MICU1	2001	1621	1192	2463	1209
RNU6-805P	0	0	0	0	0
RP11-205A8.4	0	0	0	0	0
RP11-205A8.3	0	0	0	3	0
RP11-167P22.3	0	0	0	0	0
RP11-167P22.4	0	0	0	0	0
RN7SL840P	0	0	0	0	0
HMGN2P34	0	0	0	0	0
RP11-167P22.5	0	0	0	0	0
MCU	2263	1415	1187	1727	1640
MIR4676	0	0	0	0	2
RP11-354E23.3	0	0	0	0	1
RP11-354E23.4	0	0	0	0	5
RP11-354E23.5	2	0	0	18	22
OIT3	8	2	2	8	20
NPM1P24	3	6	5	1	4
PLA2G12B	0	0	0	0	8
RPL17P50	7	12	8	15	8
P4HA1	505	1579	2238	861	818
RP11-344N10.4	0	0	0	0	5
RP11-344N10.2	0	0	0	0	0
RP11-344N10.5	24	5	6	23	21
NUDT13	64	134	129	128	86
RP11-152N13.16	15	31	50	4	12
ECD	841	1195	1076	437	471
FAM149B1	284	640	563	205	164
DNAJC9	277	1063	824	167	178
EIF4A2P2	3	4	1	0	2
DNAJC9-AS1	30	28	11	49	31
MRPS16	1349	2926	1940	1968	727
CFAP70	56	26	29	31	34
RNU6-833P	1	0	0	2	1
ANXA7	1473	4032	2939	1594	1045
RP11-537A6.9	1	1	3	0	0
RP11-345K20.2	9	2	4	1	0
MSS51	50	54	43	62	28
PPP3CB	1352	1251	1694	950	717
PPP3CB-AS1	60	132	114	110	131
USP54	1087	1687	298	113	210
RNU6-883P	1	0	0	0	0
RP11-137L10.5	0	1	0	0	1
RP11-464F9.20	18	6	3	17	40
RP11-464F9.22	6	4	7	19	19
MYOZ1	15	27	1	1794	515
SYNPO2L	451	8	1	2274	1422
RP11-464F9.21	2	0	0	5	14
AGAP5	13	4	10	0	9
RP11-464F9.1	0	0	3	2	1
BMS1P4	32	54	22	41	69
RP11-574K11.29	21	33	15	11	26
RNA5SP320	0	0	0	0	0
GLUD1P3	84	40	42	107	98
DUSP8P5	82	78	62	102	107
RP11-574K11.27	2	0	0	0	12
RP11-574K11.24	227	200	188	301	233
SEC24C	1175	2486	2256	211	1043
RP11-574K11.32	17	37	33	23	35
FUT11	66	399	433	60	150
CHCHD1	235	713	555	698	125
ZSWIM8	1022	2334	1555	684	764
RP11-574K11.26	0	0	0	0	0
ZSWIM8-AS1	0	1	0	0	0
RP11-574K11.31	4	22	16	11	6
NDST2	2	0	1	0	1
CAMK2G	1024	1073	802	870	518
RP11-574K11.5	9	10	8	22	5
RP11-574K11.8	0	2	0	4	2
PLAU	50762	29375	9837	5003	3972
C10orf55	316	155	45	71	41
VCL	13909	17076	9678	2790	4725
RP11-417O11.5	1	0	0	0	7
AP3M1	1229	1885	1699	425	484
ADK	824	1435	1314	617	272
TIMM9P1	0	0	0	0	1
RPSAP6	0	0	3	2	5
RAB5CP1	2	0	0	0	2
RP11-46O21.2	2	3	1	0	5
MRPL35P3	0	0	0	0	0
NDUFA8P1	0	0	0	0	0
POLR3DP1	0	0	0	0	0
RP11-383B24.3	0	0	0	0	0
RP11-222G7.2	2	0	0	3	2
KAT6B	294	629	689	88	152
RP11-77G23.2	0	0	0	0	0
RP11-77G23.5	1	0	0	0	1
DUPD1	0	0	0	9	2
PPIAP13	1	1	1	1	1
DUSP13	523	2	1	1694	530
SAMD8	1065	869	918	984	974
RP11-487I5.4	0	0	0	3	1
VDAC2	1879	3675	3567	2940	1247
COMTD1	60	743	191	356	64
RPL39P25	0	0	0	0	0
ZNF503-AS1	5	1	0	21	64
HMGA1P5	0	0	0	0	0
RP11-399K21.11	1	0	3	9	11
RP11-399K21.5	0	0	0	0	2
SPA17P1	1	0	0	0	1
ZNF503	595	1244	1120	721	308
ZNF503-AS2	87	168	109	155	76
RP11-399K21.13	6	0	1	45	1
RP11-399K21.14	38	5	8	92	70
RP11-399K21.10	3	0	0	2	3
C10orf11	42	230	50	90	19
RP11-399K21.12	0	0	0	0	2
MIR606	0	0	0	0	0
RP11-310J24.3	0	0	0	0	3
RP11-367B6.2	0	1	1	0	3
RN7SL518P	0	0	0	0	0
RNU6-673P	0	0	0	0	0
RP11-43N22.1	0	0	0	0	2
AC013286.1	0	0	0	0	0
RP11-369F10.2	0	0	0	0	7
RP11-325D15.2	0	0	0	0	1
ATP5G1P8	0	0	0	0	0
KCNMA1	742	2058	8921	400	349
KCNMA1-AS1	2	3	7	0	2
KCNMA1-AS2	0	0	0	0	2
RP11-328K22.1	0	0	0	1	0
KCNMA1-AS3	0	0	0	0	0
COX6CP15	0	0	0	0	0
RNA5SP321	0	0	0	0	0
RP11-428P16.2	5	10	5	0	5
RP11-428P16.3	0	0	0	0	0
RNU6-1266P	0	3	0	0	0
RP13-39P12.2	2	17	7	1	0
RP13-39P12.3	0	8	11	0	2
DLG5	420	2152	2052	193	239
RP11-126H7.4	1	1	0	0	1
RN7SL284P	0	0	0	0	3
DLG5-AS1	7	3	3	23	1
H2AFZP5	0	0	0	0	0
POLR3A	578	1389	1181	265	264
RPS24	5132	14832	10287	10611	2112
GNAI2P2	0	0	0	0	0
RP11-157J13.1	0	0	0	0	2
RP11-90J7.3	0	0	0	0	0
LINC00856	4	2	0	17	12
RP11-90J7.2	0	0	0	0	4
RP11-90J7.4	0	0	0	0	0
SNORA71	8	17	18	23	7
RP11-17G2.1	0	0	0	0	0
RP11-31E13.2	0	0	0	0	0
ZMIZ1-AS1	21	62	203	7	38
RP11-481G8.2	0	0	0	0	5
ZMIZ1	980	3592	3937	281	426
PPIF	1142	3785	1321	1032	269
ZCCHC24	207	395	902	100	119
RP11-342M3.5	0	0	0	0	1
TPRX1P1	0	0	0	1	1
RP11-342M3.1	1	0	0	2	4
RP11-342M3.2	1	1	0	0	7
EIF5AL1	27	101	34	16	8
RP11-589B3.7	0	0	0	0	0
RPS12P18	0	0	0	0	0
SFTPA2	3	0	0	1	4
MBL3P	0	0	0	0	0
SFTPA3P	0	0	0	0	0
SFTPA1	1	0	0	0	3
RP11-589B3.6	0	0	0	4	0
RP11-506M13.3	19	19	9	28	11
NUTM2B-AS1	365	297	285	248	148
RP11-182L21.5	4	0	0	0	1
RP11-119F19.5	17	17	7	2	9
BEND3P3	2	31	12	0	10
RP11-119F19.4	0	0	0	0	0
NUTM2B	1	6	4	1	0
RP11-182L21.6	88	77	45	97	85
NUTM2E	1	2	2	8	3
NPAP1P2	0	0	0	0	3
CTSLP6	0	2	0	0	8
PGGT1BP2	0	2	0	0	0
MBL1P	29	16	8	18	22
BMS1P21	21	6	4	0	29
SFTPD	6	4	3	6	13
SFTPD-AS1	2	0	0	4	1
RP11-479O17.9	0	0	0	0	0
ZNRF2P3	0	0	0	2	1
DPY19L2P5	0	0	0	0	0
RP11-369J21.11	0	0	0	0	0
C1DP3	0	0	0	3	2
C1DP2	0	0	0	5	7
C1DP4	0	0	0	4	10
TMEM254-AS1	40	23	17	39	43
RP11-369J21.13	0	0	0	0	0
TMEM254	156	315	211	77	47
RP11-369J21.12	0	0	0	0	0
RPL22P18	0	0	0	0	1
PLAC9	33	4	0	14	26
ANXA11	6203	6756	2695	5701	2258
LINC00857	124	97	7	21	19
RPS12P2	0	0	0	0	1
RP11-40F6.1	4	0	0	0	6
EIF5AP4	10	2	3	0	0
RP11-36D19.9	9	2	0	5	7
MAT1A	58	2	0	9	3
ZNF519P1	0	0	0	0	0
RP11-36D19.8	0	0	0	0	0
DYDC1	0	1	0	0	0
DYDC2	2	4	0	5	0
FAM213A	1730	2645	376	291	122
TSPAN14	3272	8372	1844	428	377
RP11-137H2.4	0	1	0	0	0
SH2D4B	2	1	0	0	0
RP11-514F8.2	0	0	0	0	0
RPS7P9	0	0	0	0	0
RP11-20E23.1	0	0	0	0	0
FARSBP1	0	0	0	0	0
WARS2P1	0	0	0	0	3
RPA2P2	1	0	0	0	0
NRG3	67	47	6	0	6
RP11-202D18.2	0	0	0	0	0
NRG3-AS1	0	1	0	0	1
RNU6-441P	0	0	0	0	0
RNU6-478P	0	0	0	0	0
MARK2P15	0	0	0	0	0
RP11-344L13.2	0	0	0	0	0
RP11-344L13.1	0	0	0	0	0
RNU6-129P	0	0	0	0	0
RP11-219F10.1	0	0	0	0	0
RNU1-65P	0	0	0	0	0
HMGN2P8	0	2	0	0	0
RP11-338I21.1	24	37	9	0	81
GHITM	4126	5560	3998	4582	2607
C10orf99	0	95	0	0	1
CDHR1	114	281	42	9	21
LRIT2	1	3	0	0	1
LRIT1	0	2	0	0	4
RGR	0	0	0	6	3
LINC00858	0	0	0	0	0
CCSER2	1024	1251	1038	383	524
RPL12P29	0	0	0	0	0
TNPO1P1	0	0	1	0	3
CACYBPP1	0	0	0	0	0
RPS3AP5	2	2	6	6	2
LINC01519	0	0	0	0	0
RP11-475D12.1	0	0	0	0	0
RP11-475D12.2	0	0	0	0	0
LINC01520	0	0	0	0	1
RP11-113E21.2	0	0	0	0	0
RNU6-325P	0	0	0	0	0
RP11-113E21.3	1	0	0	0	1
GRID1-AS1	0	0	0	0	1
GRID1	1	4	0	0	9
RP11-93H12.4	19	20	0	0	3
RN7SKP238	0	0	0	0	0
RP11-93H12.3	0	0	0	0	0
RNA5SP322	0	0	0	0	0
MIR346	0	0	0	0	0
WAPL	1203	2037	1748	550	798
RNU6-780P	0	1	0	0	0
RP11-77P6.2	33	10	34	105	96
RPL7AP8	0	0	0	0	0
OPN4	1	1	0	3	27
LDB3	189	32	21	814	466
RP11-359E3.4	112	37	42	126	317
BMPR1A	613	1169	853	441	600
RP11-420K10.1	0	0	0	0	4
RNU1-19P	0	0	0	0	0
MMRN2	127	18	13	16	24
RP11-411A19.5	3	0	0	0	1
SNCG	58	81	53	154	14
ADIRF-AS1	134	197	185	97	316
ADIRF	0	0	0	0	0
RP11-96C23.15	0	0	0	0	0
AGAP11	1	2	1	0	12
BMS1P3	0	1	0	0	1
RP11-96C23.13	3	2	1	0	4
RP11-96C23.14	0	0	0	0	5
RP11-96C23.11	0	0	0	0	0
RP11-96C23.10	0	0	0	0	3
FAM25A	3	0	0	0	0
RP11-96C23.12	1	0	0	0	0
RNU6-529P	0	0	0	5	0
GLUD1	1476	4915	3046	710	599
FAM35A	345	1350	948	187	123
RP11-96C23.9	1	0	0	0	0
RN7SL733P	0	0	0	0	1
NUTM2A-AS1	288	526	327	254	152
NUTM2A	5	9	2	5	2
LINC00863	178	160	74	127	47
NUTM2D	33	28	10	11	9
NPAP1P3	0	0	0	0	1
CTSLP1	2	8	0	1	1
RP11-399L7.3	0	0	0	0	0
MIR4678	2	0	0	1	2
MINPP1	695	828	828	411	277
RP11-57C13.4	0	0	0	0	0
RP11-57C13.6	1	3	3	0	2
RP11-57C13.3	0	0	0	0	1
RP11-57C13.5	0	0	0	0	0
PAPSS2	324	1821	4221	149	191
ATAD1	1740	1362	1121	1050	1063
CFL1P1	39	3	5	37	92
RN7SL78P	0	0	0	0	2
KLLN	58	25	43	20	94
PTEN	1464	1827	1892	862	934
RP11-380G5.2	3	7	1	0	2
RP11-380G5.3	1	0	0	0	3
MED6P1	0	0	0	0	0
RP11-129G17.2	0	0	0	0	1
RNLS	194	210	169	114	111
LIPJ	1	1	0	0	2
RPL7P34	0	0	0	0	0
LIPF	0	0	0	13	6
RP11-186O14.7	0	0	0	0	0
LIPK	0	0	7	0	7
KRT8P38	0	0	0	0	0
LIPN	0	1	1	0	3
RCBTB2P1	0	0	0	0	0
LIPM	1	2	3	0	5
ANKRD22	11	4	18	13	0
PTCD2P2	0	0	0	0	3
STAMBPL1	120	196	1122	32	47
ACTA2-AS1	5	4	6	14	14
ACTA2	2152	225	169	5008	2013
FAS	1353	1423	607	325	426
FAS-AS1	2	1	0	0	4
RP11-399O19.9	34	27	16	16	9
MIR4679-2	0	0	0	0	0
MIR4679-1	0	0	0	0	0
RP11-341B24.3	0	0	0	0	0
CH25H	12	3	0	18	25
LIPA	632	1524	1985	74	577
IFIT2	1245	192	142	98	7978
RP11-149I23.3	72	21	2	22	83
IFIT3	1209	593	477	211	6277
IFIT6P	0	0	0	0	3
IFIT1B	1	1	0	0	37
IFIT1	886	189	917	389	9184
IFIT5	718	534	520	307	1957
SLC16A12	254	206	18	3	15
SLC16A12-AS1	0	0	0	0	1
PANK1	409	190	170	233	185
MIR107	0	0	0	0	0
RP11-80H5.5	0	0	0	0	0
RP11-80H5.2	2	0	1	4	5
RP11-80H5.6	0	1	0	0	20
RP11-80H5.9	2	1	9	31	23
RP11-80H5.7	2	1	4	0	8
KIF20B	75	1589	1279	36	78
RP11-248C1.4	0	0	0	0	0
LINC00865	27	25	8	12	8
RP11-248C1.3	0	0	0	0	0
LINC01374	1	0	0	0	0
LINC01375	0	0	0	0	0
SNRPD2P1	0	1	0	0	1
RN7SKP143	0	0	0	0	0
RP11-15K3.1	1	0	0	0	0
RP11-94M14.2	0	0	0	0	0
RP11-94M14.3	0	0	0	0	1
RP11-30G13.1	0	0	0	0	1
HTR7	2	22	49	2	10
RPP30	233	629	523	295	105
ANKRD1	7584	2688	2044	22953	14660
RNU6-740P	0	0	0	0	8
RP11-236B18.2	0	0	0	0	2
RP11-236B18.5	0	0	0	5	0
LINC00502	0	0	0	0	1
DDX18P6	1	0	0	0	0
RP11-56M3.1	2	6	1	15	34
PCGF5	306	1561	1131	147	390
HECTD2	887	283	650	290	442
RP11-108M11.3	0	0	0	0	0
RPS27P1	0	0	0	0	1
PPP1R3C	2645	89	2359	1791	1399
GAPDHP28	0	0	0	0	1
FAF2P1	0	0	0	0	0
TNKS2-AS1	26	5	1	22	39
TNKS2	1689	2625	2540	544	1183
SRP9P1	3	8	7	5	1
RP11-402D21.3	0	0	0	0	0
FGFBP3	14	53	38	21	12
RP11-402D21.2	0	2	0	7	1
BTAF1	661	1720	1417	135	713
CPEB3	204	58	34	45	181
SDHCP2	0	0	0	0	1
EIF4A1P8	0	0	0	0	1
